miasto,lat,lng,populatio
Nowy Targ,49.4892,20.0442,33361
Ostróda,53.7026,19.9529,33243
Iława,53.596,19.5594,33132
Oława,50.9574,17.2942,32883
Marki,52.337,21.1199,32686
Busko-Zdrój,50.4702,20.7165,32438
Mosina,52.247,16.8507,32350
Krzeszowice,50.144,19.6309,32296
Środa Wielkopolska,52.2299,17.2803,32160
Gryfino,53.256,14.4967,32116
Nakło nad Notecią,53.1423,17.6009,32053
Myszków,50.5646,19.3274,31974
Czeladź,50.31919,19.08231,31901
Wieluń,51.2253,18.569,31849
Luboń,52.3367,16.8729,31653
Żywiec,49.7063,19.2097,31560
Aleksandrów Łódzki,51.816,19.3038,31445
Mława,53.1341,20.3812,31243
Strzelce Opolskie,50.5297,18.3,30764
Zgorzelec,51.1517,15.0171,30738
Długołęka,51.188,17.2107,30706
Wolsztyn,52.1116,16.1137,30528
Pruszcz Gdański,54.25778,18.6453,30468
Łuków,51.9252,22.3855,30310
Rawicz,51.6169,16.8782,30287
Augustów,53.84501,23.00989,30270
Bielawa,50.6754,16.6028,30207
Świebodzin,52.2442,15.5311,30198
Pleszew,51.894,17.7864,30026
Bochnia,49.9747,20.4292,29992
Szamotuły,52.6092,16.5791,29931
Kozienice,51.586,21.5365,29787
Giżycko,54.0359,21.7693,29480
Pruszcz Gdański,54.26838,18.56816,29186
Brodnica,53.2579,19.4064,28717
gmina Miasto Łowicz,52.10614,19.94465,28704
Nowy Dwór Mazowiecki,52.4342,20.6917,28637
Jędrzejów,50.6395,20.2893,28324
Chełmiec,49.5948,20.7572,28216
Komorniki,52.3266,16.8203,28149
Gostyń,51.8827,17.0091,28059
Niepołomice,50.0344,20.2118,27914
Łask,51.6018,19.1582,27876
Pisz,53.6273,21.8096,27835
Gorlice,49.6663,21.1659,27781
Polkowice,51.5013,16.0682,27512
Kętrzyn,54.08232,21.37496,27478
Czerwonak,52.50306,17.04249,27450
Ropczyce,50.049,21.6127,27384
Prudnik,50.306,17.5687,27374
Turek,52.0161,18.5115,27311
Zakopane,49.27576,19.97186,27266
Kłodzko,50.4337,16.649,27193
Kórnik,52.2403,17.0917,26901
Skoczów,49.80238,18.79074,26897
Brzozów,49.6977,22.0194,26659
Nowy Tomyśl,52.3111,16.1331,26624
Góra Kalwaria,51.9819,21.1971,26579
Radzymin,52.426,21.1653,26574
Biłgoraj,50.539,22.7116,26550
Sulechów,52.086,15.6142,26498
Łomianki,52.3332,20.8939,26229
Zabierzów,50.1198,19.7676,26206
Tarnowo Podgórne,52.4492,16.6792,26178
Brwinów,52.1431,20.7163,26167
Żagań,51.6149,15.3156,26148
Strzegom,50.9599,16.3442,26102
Puck,54.7154,18.3194,26018
Lesznowola,52.07135,20.92259,25976
Namysłów,51.0768,17.6954,25936
Tarnów,50.0421,20.9212,25909
Staszów,50.562,21.1907,25897
Dębica,50.0549,21.4644,25766
Sokółka,53.4068,23.5026,25765
Dopiewo,52.3579,16.71,25692
Grójec,51.8681,20.8724,25654
Bielsk Podlaski,52.7641,23.1902,25611
Wągrowiec,52.8122,17.1978,25607
Wałcz,53.2726,16.4494,25533
Bytów,54.1797,17.5006,25406
Wejherowo,54.59505,18.164,25332
Limanowa,49.7285,20.442,25215
Grybów,49.60434,20.87539,25179
Międzyrzecz,52.4483,15.5914,25148
Reda,54.60856,18.34888,25102
Nowogard,53.6719,15.1186,24845
Kolbuszowa,50.236,21.7666,24829
Konstancin-Jeziorna,52.0838,21.1056,24776
Mogilno,52.6587,17.9541,24768
Szubin,53.0096,17.7423,24657
Pułtusk,52.7013,21.0832,24613
Morąg,53.9168,19.9275,24590
Kępno,51.2854,17.9867,24520
Białogard,54.014,15.9755,24368
Trzcianka,53.0426,16.4465,24360
Żnin,52.8446,17.73,24321
Milicz,51.5215,17.2699,24285
Koronowo,53.3219,17.9479,24222
Trzebnica,51.3069,17.0591,24179
Ożarów Mazowiecki,52.2135,20.7938,24060
Kąty Wrocławskie,51.0271,16.7615,24021
Ostrzeszów,51.4244,17.9323,23974
Głuchołazy,50.3137,17.3684,23962
Kościan,52.0834,16.6494,23907
Nowy Targ,49.48365,20.0719,23905
Gryfice,53.9171,15.2028,23905
Lubliniec,50.6432,18.7086,23899
Sandomierz,50.6795,21.747,23863
Jasienica,49.8311,18.9207,23850
Bartoszyce,54.2534,20.8103,23810
Kościerzyna,54.1207,17.9846,23809
Koluszki,51.7456,19.8167,23639
Stary Sącz,49.5618,20.6351,23627
Sędziszów Małopolski,50.0675,21.707,23572
Szczytno,53.5636,20.9943,23500
Bogatynia,50.9223,14.9386,23462
Łęczna,51.3025,22.8851,23462
Jelcz-Laskowice,51.0327,17.33,23269
Jawor,51.0676,16.185,23266
Kobyłka,52.34012,21.19878,23120
Wolbrom,50.3789,19.7719,22974
Zamość,50.7267,23.2094,22958
Krapkowice,50.4784,17.9574,22866
Świebodzice,50.8725,16.3385,22840
Piastów,52.1855,20.8463,22732
Ostrów Mazowiecka,52.8071,21.891,22656
Wołów,51.3383,16.635,22629
Głubczyce,50.2042,17.831,22527
Dobra (Szczecińska),53.4937,14.3927,22511
Libiąż,50.0949,19.3179,22490
Nowa Ruda,50.5735,16.51955,22455
Czarny Dunajec,49.44101,19.85521,22423
Nisko,50.5032,22.129,22412
Łaziska Górne,50.1434,18.8528,22390
Koło,52.19838,18.63546,22227
Zielonki,50.1422,19.9442,22222
Płońsk,52.62647,20.36301,22214
Strzelin,50.7777,17.0767,22178
Zambrów,52.976,22.2472,22173
Lubartów,51.45841,22.60587,22138
Olecko,54.0361,22.4981,22130
Łapy,52.9937,22.8771,22072
Ząbkowice Śląskie,50.5873,16.8228,22058
Grajewo,53.6401,22.4509,22049
Mrągowo,53.8685,21.29887,21889
Choszczno,53.1687,15.4269,21824
Łańcut,50.03209,22.2533,21770
Rydułtowy,50.05915,18.41751,21700
Nowa Sarzyna,50.3254,22.3214,21629
Raszyn,52.12953,20.91346,21612
Czersk,53.7899,17.9773,21612
Trzebownisko,50.124,22.0774,21538
Błonie,52.1954,20.6228,21530
Wschowa,51.8074,16.3214,21428
Brzeszcze,49.98352,19.14745,21398
Działdowo,53.2401,20.1808,21370
Lubań,51.1147,15.2808,21318
Białe Błota,53.0865,17.9027,21268
Dąbrowa Tarnowska,50.1698,20.9949,21231
Nidzica,53.363,20.4229,21180
Gorzyce,49.95972,18.39961,21100
Siechnice,51.0325,17.157,21037
Pińczów,50.5149,20.531,20938
Szprotawa,51.5609,15.5217,20925
Hajnówka,52.73204,23.57631,20919
Dębno,52.7414,14.6952,20828
Orzesze,50.1083,18.7944,20773
Strzyżów,49.8712,21.7888,20754
Ryki,51.6259,21.9263,20510
Kłobuck,50.9068,18.9402,20498
Józefów,52.1285,21.22,20488
Kobierzyce,50.9607,16.9368,20437
Boguchwała,49.9836,21.9365,20423
Tuchola,53.58695,17.86162,20387
Gołdap,54.3131,22.2983,20290
Leżajsk,50.2282,22.4207,20269
Góra,51.6702,16.5505,20177
Oborniki Śląskie,51.2961,16.9093,20105
Myślibórz,52.9441,14.8676,20096
Słubice,52.359,14.5899,20077
Kalwaria Zebrzydowska,49.8671,19.6663,20052
Tłuszcz,52.4315,21.4322,19990
Nasielsk,52.5937,20.8117,19949
Grodzisk Wielkopolski,52.2261,16.366,19928
